target_lastauthor_year,sensitivity,include,how_close,status,academic_year,subfield,target_year,stanford_internal,open_data,open_materials,target_on_turk,replication_on_turk,within_between,single_vignette,repeated_measure,target_N,target_raw_stat,same_dir,replication_N,replication_raw_stat,replicated_instructor_code,replicated_report_code,adjudicated_replication_code,target_df_1,target_df_2,target_tstat,target_fstat,target_p_calc,target_d_calc,target_d_calc_se,target_N_calc,target_ES,target_SE,rep_df_1,rep_df_2,rep_tstat,rep_fstat,rep_p_calc,rep_d_calc,rep_d_calc_se,rep_N_calc,rep_ES,rep_SE,predInt,predInt_from_d,p_orig,p_orig_from_d,predInt_with_tau,p_orig_with_tau,sub_rep
mani2013,NA,stats,close,done,2021-2022,non-psych,2013,no,no,no,no,yes,between,0,4,101,"F(1,97)=7.86",yes,45,"F(1,41)=1.268",0,0,NA,1,97,NA,7.86,0.006104594790676638,0.5635386034476765,0.04200795837159474,99,NA,NA,1,41,NA,1.268,0.2666904240174115,0.34344357378191404,0.09439480800432666,43,NA,NA,FALSE,FALSE,0.033153109753034204,0.033153109753034204,TRUE,0.3470055052471166,0
markant2014,exp,stats,close,done,2014-2015,cognitive,2014,no,no,no,no,yes,between,0,256,30,t(57)=1.82,yes,48,t(45)=2.36,1,1,NA,NA,57,1.82,NA,0.07401108343378567,0.4738876359701989,0.06969974145360529,59,NA,NA,NA,45,2.36,NA,0.022671305825598776,0.6884827598700622,0.09014902670891806,47,NA,NA,TRUE,TRUE,0.059670870592585024,0.059670870592585024,TRUE,0.36909417654376364,1
monin2008,exp,stats,close,done,2011-2012,social,2008,yes,no,no,no,yes,between,1,1,67,"MSD2:m1=2.54(1.95),m2=.02(2.38)",no,75,"MSD2:m1=.02(1.88),m2=.27(1.72)",0,0,NA,65,NA,9.409869739945805,NA,9.455285574501594e-14,1.1582748962112348,0.06971343832233691,NA,2.52,0.2678039196762052,73,NA,-1.193589126317875,NA,0.2365032572588248,-0.13875191756475122,0.05346168063085264,NA,-0.25,0.20945231025288372,FALSE,FALSE,4.440892098500626e-16,0,FALSE,1.2135443983041228e-8,0
okonofua2022,NA,stats,very close,done,2022-2023,social,2016,yes,no,no,no,yes,between,1,1,300,"MSD2:m1=5.23(1.14),m2=2.47(1.09)",yes,12,"MSD2:m1=4.041667(1.32662),m2=2.818182(1.621821)",0.75,0.75,NA,298,NA,42.79181141868738,NA,2.8365796087321174e-129,2.474714350931037,0.02354035186450671,NA,2.7600000000000002,0.06449832125579745,10,NA,2.738839929629144,NA,0.020874271246719506,0.8257913097657507,0.36174713697019306,NA,1.2234850000000002,0.44671650459166035,FALSE,FALSE,6.634002055114774e-4,5.400414178291513e-6,FALSE,8.288848867565868e-5,0.75
otto2014,NA,exp,close,done,2014-2015,cognitive,2014,no,no,no,no,yes,within,0,200,45,bseb=-.06(.03),NA,45,NA,0.75,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
payne2008,NA,stats,far,done,2018-2019,other-psych,2008,no,no,no,no,yes,between,0,192,48,"F(1,46)=11.5",yes,23,"F(1,21)=2.34",0,0,NA,1,46,NA,11.5,0.0014385441531672275,0.978945010372561,0.09331597222222222,48,NA,NA,1,21,NA,2.34,0.14101440312110838,0.637931439685434,0.18275992438563327,23,NA,NA,TRUE,TRUE,0.09654894447980533,0.09654894447980533,TRUE,0.24546472034503797,0
ranzini2009,NA,exp,close,cannot tell direction in rep,2014-2015,other-psych,2009,no,no,no,no,yes,within,0,264,15,"F(1,14)=4.1",NA,17,"F(1,16)=0.24",0,0,NA,1,14,NA,4.1,0.06239142763501336,0.541162769282166,0.2591517857142857,16,NA,NA,1,16,NA,0.24,0.6308554417427774,NA,0.2226388888888889,18,NA,NA,NA,NA,NA,NA,NA,NA,0
read2012,NA,exp,close,done,2014-2015,cognitive,2012,no,no,no,no,yes,between,0,9,277,NA,yes,292,NA,0.75,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
richter2012,exp,stats,very close,done,2012-2013,cognitive,2012,no,no,no,no,yes,within,0,240,18,t(17)=-2.60,yes,45,t(44)=3.32,0,0,NA,NA,17,2.6,NA,0.018680059409174287,0.6128258770283412,0.23265432098765432,18,NA,NA,NA,44,3.32,NA,0.0018156286626921636,0.4949163790199534,0.09161046913580247,45,NA,NA,TRUE,TRUE,0.6372404405360899,0.6372404405360899,TRUE,0.7180241202648201,0
risen2008,NA,exp,close,done,2011-2012,social,2008,no,no,no,no,yes,between,1,1,120,"F(1,116)=4.15",NA,226,NA,0,0,NA,1,116,NA,4.15,0.04391040635552726,0.3750706148203228,0.03449439816144786,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
savani2010,exp,stats,very close,done,2014-2015,social,2010,yes,no,no,no,yes,between,1,1,128,t(32)=4.25,yes,63,t(33)=1.16,0,0,NA,NA,32,4.25,NA,1.7265490971033715e-4,1.457737973711325,0.1488970588235294,34,NA,NA,NA,33,1.16,NA,0.25437279963410386,0.3921515741940317,0.11648261224489795,35,NA,NA,FALSE,FALSE,1.73399954395137e-8,1.73399954395137e-8,FALSE,1.6244839690782165e-4,0
schechtman2010,NA,exp,close,done,2018-2019,cognitive,2010,no,no,no,no,yes,within,0,252,39,NA,NA,20,t(1420)=-2.384,0.5,0.75,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420,2.384,NA,0.01725631274976217,NA,0.0028163263959081653,1421,NA,NA,NA,NA,NA,NA,NA,NA,0.5
schnall2008,NA,stats,very close,done,2012-2013,social,2008,no,no,no,no,yes,between,1,6,40,"MSD2:m1=4.98(1.26),m2=5.81(1.47)",yes,90,"MSD2:m1=6.50(1.92),m2=6.67(1.51)",0.25,0,0,38,NA,-3.786139715010079,NA,5.296717025235537e-4,0.6062675626126827,0.10459450446845404,NA,0.8299999999999992,0.21922064753962459,88,NA,-0.9285367563190019,NA,0.3556691533650953,0.09842469932061243,0.044498263452424185,NA,0.16999999999999993,0.1830837593052653,FALSE,FALSE,0.020844855417902375,7.901828092293783e-6,FALSE,0.033441307386640196,0
